Week,State,Average Cases1,Average Cases
1 Jul – 7 Jul,Federal Territory of Kuala Lumpur,678.1428571,678
8 Jul – 14 Jul,Federal Territory of Kuala Lumpur,623.1428571,623
15 Jul – 21 Jul,Federal Territory of Kuala Lumpur,538.8571429,539
22 Jul – 28 Jul,Federal Territory of Kuala Lumpur,605.7142857,606
29 Jul – 4 Aug,Federal Territory of Kuala Lumpur,816.7142857,817
5 Aug – 11 Aug,Federal Territory of Kuala Lumpur,1182.857143,1183
12 Aug – 18 Aug,Federal Territory of Kuala Lumpur,1382.714286,1383
19 Aug – 25 Aug,Federal Territory of Kuala Lumpur,1764.285714,1764
26 Aug – 31 Aug,Federal Territory of Kuala Lumpur,2174.428571,2174
1 Jul – 7 Jul,Federal Territory of Labuan,2201.571429,2202
8 Jul – 14 Jul,Federal Territory of Labuan,1995.571429,1996
15 Jul – 21 Jul,Federal Territory of Labuan,1369.428571,1369
22 Jul – 28 Jul,Federal Territory of Labuan,981.1428571,981
29 Jul – 4 Aug,Federal Territory of Labuan,290.5714286,291
5 Aug – 11 Aug,Federal Territory of Labuan,184.4285714,184
12 Aug – 18 Aug,Federal Territory of Labuan,134.5714286,135
19 Aug – 25 Aug,Federal Territory of Labuan,118.2857143,118
26 Aug – 31 Aug,Federal Territory of Labuan,114.2857143,114
1 Jul – 7 Jul,Federal Territory of Putrajaya,75.57142857,76
8 Jul – 14 Jul,Federal Territory of Putrajaya,40.85714286,41
15 Jul – 21 Jul,Federal Territory of Putrajaya,24.57142857,25
22 Jul – 28 Jul,Federal Territory of Putrajaya,9.571428571,10
29 Jul – 4 Aug,Federal Territory of Putrajaya,6.571428571,7
5 Aug – 11 Aug,Federal Territory of Putrajaya,4.571428571,5
12 Aug – 18 Aug,Federal Territory of Putrajaya,4.285714286,4
19 Aug – 25 Aug,Federal Territory of Putrajaya,4.857142857,5
26 Aug – 31 Aug,Federal Territory of Putrajaya,12.42857143,12
1 Jul – 7 Jul,Kedah,19,19
8 Jul – 14 Jul,Kedah,6.285714286,6
15 Jul – 21 Jul,Kedah,13.42857143,13
22 Jul – 28 Jul,Kedah,14.42857143,14
29 Jul – 4 Aug,Kedah,28.85714286,29
5 Aug – 11 Aug,Kedah,52.42857143,52
12 Aug – 18 Aug,Kedah,57.14285714,57
19 Aug – 25 Aug,Kedah,90.57142857,91
26 Aug – 31 Aug,Kedah,66.42857143,66
1 Jul – 7 Jul,Kelantan,59.85714286,60
8 Jul – 14 Jul,Kelantan,35.28571429,35
15 Jul – 21 Jul,Kelantan,29,29
22 Jul – 28 Jul,Kelantan,336.1428571,336
29 Jul – 4 Aug,Kelantan,458.4285714,458
5 Aug – 11 Aug,Kelantan,442.7142857,443
12 Aug – 18 Aug,Kelantan,358.4285714,358
19 Aug – 25 Aug,Kelantan,320.4285714,320
26 Aug – 31 Aug,Kelantan,347.8571429,348
1 Jul – 7 Jul,Melaka,459.2857143,459
8 Jul – 14 Jul,Melaka,753,753
15 Jul – 21 Jul,Melaka,1007.571429,1008
22 Jul – 28 Jul,Melaka,1205.428571,1205
29 Jul – 4 Aug,Melaka,1421.857143,1422
5 Aug – 11 Aug,Melaka,1439.714286,1440
12 Aug – 18 Aug,Melaka,1784.285714,1784
19 Aug – 25 Aug,Melaka,1295,1295
26 Aug – 31 Aug,Melaka,205.2857143,205
1 Jul – 7 Jul,Negeri Sembilan,215.5714286,216
8 Jul – 14 Jul,Negeri Sembilan,188.1428571,188
15 Jul – 21 Jul,Negeri Sembilan,207.8571429,208
22 Jul – 28 Jul,Negeri Sembilan,271.7142857,272
29 Jul – 4 Aug,Negeri Sembilan,467.7142857,468
5 Aug – 11 Aug,Negeri Sembilan,680.2857143,680
12 Aug – 18 Aug,Negeri Sembilan,1072.142857,1072
19 Aug – 25 Aug,Negeri Sembilan,1306,1306
26 Aug – 31 Aug,Negeri Sembilan,1618.571429,1619
1 Jul – 7 Jul,Pahang,1806.142857,1806
8 Jul – 14 Jul,Pahang,1850.142857,1850
15 Jul – 21 Jul,Pahang,1583.857143,1584
22 Jul – 28 Jul,Pahang,309.5714286,310
29 Jul – 4 Aug,Pahang,245,245
5 Aug – 11 Aug,Pahang,172.7142857,173
12 Aug – 18 Aug,Pahang,122.8571429,123
19 Aug – 25 Aug,Pahang,115,115
26 Aug – 31 Aug,Pahang,158.2857143,158
1 Jul – 7 Jul,Penang,224.5714286,225
8 Jul – 14 Jul,Penang,407.1428571,407
15 Jul – 21 Jul,Penang,683,683
22 Jul – 28 Jul,Penang,962.5714286,963
29 Jul – 4 Aug,Penang,1185.857143,1186
5 Aug – 11 Aug,Penang,1258.428571,1258
12 Aug – 18 Aug,Penang,1143.428571,1143
19 Aug – 25 Aug,Penang,241.1428571,1241
26 Aug – 31 Aug,Penang,157.2857143,1157
1 Jul – 7 Jul,Perak,178.2857143,178
8 Jul – 14 Jul,Perak,260,260
15 Jul – 21 Jul,Perak,258.1428571,258
22 Jul – 28 Jul,Perak,372.8571429,373
29 Jul – 4 Aug,Perak,460.8571429,461
5 Aug – 11 Aug,Perak,472.2857143,472
12 Aug – 18 Aug,Perak,554.5714286,555
19 Aug – 25 Aug,Perak,499.8571429,500
26 Aug – 31 Aug,Perak,678.4285714,678
1 Jul – 7 Jul,Johor,202.5714286,203
8 Jul – 14 Jul,Johor,257.1428571,257
15 Jul – 21 Jul,Johor,236.5714286,237
22 Jul – 28 Jul,Johor,346.7142857,347
29 Jul – 4 Aug,Johor,580.4285714,580
5 Aug – 11 Aug,Johor,769.5714286,770
12 Aug – 18 Aug,Johor,888.8571429,889
19 Aug – 25 Aug,Johor,1089.285714,1089
26 Aug – 31 Aug,Johor,1048.857143,1049
1 Jul – 7 Jul,Perlis,661.2857143,6
8 Jul – 14 Jul,Perlis,3.285714286,3
15 Jul – 21 Jul,Perlis,3.142857143,3
22 Jul – 28 Jul,Perlis,1.714285714,2
29 Jul – 4 Aug,Perlis,2.142857143,2
5 Aug – 11 Aug,Perlis,1,1
12 Aug – 18 Aug,Perlis,1.714285714,2
19 Aug – 25 Aug,Perlis,3.428571429,3
26 Aug – 31 Aug,Perlis,5.285714286,5
1 Jul – 7 Jul,Sabah,249.1428571,249
8 Jul – 14 Jul,Sabah,278.2857143,278
15 Jul – 21 Jul,Sabah,541.5714286,542
22 Jul – 28 Jul,Sabah,702.4285714,702
29 Jul – 4 Aug,Sabah,1000.571429,1001
5 Aug – 11 Aug,Sabah,1304.428571,1304
12 Aug – 18 Aug,Sabah,1909.571429,1910
19 Aug – 25 Aug,Sabah,2812.142857,2812
26 Aug – 31 Aug,Sabah,2502.428571,2502
1 Jul – 7 Jul,Terengganu,650,650
8 Jul – 14 Jul,Terengganu,618.1428571,618
15 Jul – 21 Jul,Terengganu,584.1428571,584
22 Jul – 28 Jul,Terengganu,498.7142857,499
29 Jul – 4 Aug,Terengganu,400,400
5 Aug – 11 Aug,Terengganu,330.2857143,330
12 Aug – 18 Aug,Terengganu,339.4285714,339
19 Aug – 25 Aug,Terengganu,399.7142857,400
26 Aug – 31 Aug,Terengganu,495,495
1 Jul – 7 Jul,Sarawak,649.8571429,650
8 Jul – 14 Jul,Sarawak,951.4285714,951
15 Jul – 21 Jul,Sarawak,1711.857143,1712
22 Jul – 28 Jul,Sarawak,2168.428571,2168
29 Jul – 4 Aug,Sarawak,2372.857143,2373
5 Aug – 11 Aug,Sarawak,1853.714286,1854
12 Aug – 18 Aug,Sarawak,1858.285714,1858
19 Aug – 25 Aug,Sarawak,2024.142857,2024
26 Aug – 31 Aug,Sarawak,2696.285714,2696
1 Jul – 7 Jul,Selangor,4032.714286,4033
8 Jul – 14 Jul,Selangor,5175.857143,5176
15 Jul – 21 Jul,Selangor,6740.428571,6740
22 Jul – 28 Jul,Selangor,6552.571429,6553
29 Jul – 4 Aug,Selangor,7283.428571,7283
5 Aug – 11 Aug,Selangor,6806.142857,6806
12 Aug – 18 Aug,Selangor,6211.142857,6211
19 Aug – 25 Aug,Selangor,5402.857143,5403
26 Aug – 31 Aug,Selangor,781.7142857,5781
