Week,State,Average Cases1,Average Cases,Tests Conducted,Test_Kit
1 Jul – 7 Jul,Johor,202.5714286,203,2655,RTK-AG
1 Jul – 7 Jul,Johor,202.5714286,203,3072,PCR
1 Jul – 7 Jul,Johor,202.5714286,203,5727,Both
12 Aug – 18 Aug,Johor,888.8571429,889,10932,RTK-AG
12 Aug – 18 Aug,Johor,888.8571429,889,10283,PCR
12 Aug – 18 Aug,Johor,888.8571429,889,21215,Both
15 Jul – 21 Jul,Johor,236.5714286,237,4866,RTK-AG
15 Jul – 21 Jul,Johor,236.5714286,237,4765,PCR
15 Jul – 21 Jul,Johor,236.5714286,237,9631,Both
19 Aug – 25 Aug,Johor,1089.285714,1089,11059,RTK-AG
19 Aug – 25 Aug,Johor,1089.285714,1089,10631,PCR
19 Aug – 25 Aug,Johor,1089.285714,1089,21690,Both
22 Jul – 28 Jul,Johor,346.7142857,347,5253,RTK-AG
22 Jul – 28 Jul,Johor,346.7142857,347,5862,PCR
22 Jul – 28 Jul,Johor,346.7142857,347,11115,Both
26 Aug – 31 Aug,Johor,1048.857143,1049,9336,RTK-AG
26 Aug – 31 Aug,Johor,1048.857143,1049,8325,PCR
26 Aug – 31 Aug,Johor,1048.857143,1049,17661,Both
29 Jul – 4 Aug,Johor,580.4285714,580,5846,RTK-AG
29 Jul – 4 Aug,Johor,580.4285714,580,8163,PCR
29 Jul – 4 Aug,Johor,580.4285714,580,14009,Both
5 Aug – 11 Aug,Johor,769.5714286,770,8920,RTK-AG
5 Aug – 11 Aug,Johor,769.5714286,770,8818,PCR
5 Aug – 11 Aug,Johor,769.5714286,770,17738,Both
8 Jul – 14 Jul,Johor,257.1428571,257,3888,RTK-AG
8 Jul – 14 Jul,Johor,257.1428571,257,4451,PCR
8 Jul – 14 Jul,Johor,257.1428571,257,8339,Both
1 Jul – 7 Jul,Kedah,19,19,1951,RTK-AG
1 Jul – 7 Jul,Kedah,19,19,1381,PCR
1 Jul – 7 Jul,Kedah,19,19,3332,Both
12 Aug – 18 Aug,Kedah,57.14285714,57,5287,RTK-AG
12 Aug – 18 Aug,Kedah,57.14285714,57,4206,PCR
12 Aug – 18 Aug,Kedah,57.14285714,57,9493,Both
15 Jul – 21 Jul,Kedah,13.42857143,13,2734,RTK-AG
15 Jul – 21 Jul,Kedah,13.42857143,13,2525,PCR
15 Jul – 21 Jul,Kedah,13.42857143,13,5259,Both
