Date1,State,beds_icu_covid,icu_covid,icu_usage,vent_covid,vent,vent_usage,Date,Total Cases
1-Jun,Johor,114,158,138.6,98,134,73.13,01-Jun,431
1-Jun,Kedah,73,74,101.37,47,112,41.96,01-Jun,236
1-Jun,Kelantan,56,47,83.93,26,124,20.97,01-Jun,531
1-Jun,Melaka,70,60,85.71,10,59,16.95,01-Jun,249
1-Jun,Negeri Sembilan,44,94,213.64,44,56,78.57,01-Jun,397
1-Jun,Pahang,53,30,56.6,18,65,27.69,01-Jun,190
1-Jun,Perak,67,60,89.55,35,98,35.71,01-Jun,387
1-Jun,Perlis,8,8,100,6,16,37.5,01-Jun,0
1-Jun,Pulau Pinang,41,38,92.68,20,35,57.14,01-Jun,400
1-Jun,Sabah,85,68,80,26,111,23.42,01-Jun,318
1-Jun,Sarawak,106,103,97.17,36,140,25.71,01-Jun,703
1-Jun,Selangor,244,282,115.57,166,275,60.36,01-Jun,2070
1-Jun,Terengganu,26,17,65.38,6,41,14.63,01-Jun,198
1-Jun,W.P. Kuala Lumpur,121,123,101.65,73,143,51.05,01-Jun,817
1-Jun,W.P. Labuan,11,10,90.91,10,14,71.43,01-Jun,162
1-Jun,W.P. Putrajaya,8,9,112.5,3,28,10.71,01-Jun,18
2-Jun,Johor,114,154,135.09,93,134,69.4,02-Jun,554
2-Jun,Kedah,73,76,104.11,46,105,43.81,02-Jun,283
2-Jun,Kelantan,56,50,89.29,25,124,20.16,02-Jun,541
2-Jun,Melaka,70,71,101.43,12,59,20.34,02-Jun,209
2-Jun,Negeri Sembilan,44,94,213.64,47,56,83.93,02-Jun,586
2-Jun,Pahang,53,29,54.72,18,65,27.69,02-Jun,237
2-Jun,Perak,67,59,88.06,42,98,42.86,02-Jun,224
2-Jun,Perlis,8,7,87.5,6,16,37.5,02-Jun,7
2-Jun,Pulau Pinang,41,38,92.68,22,35,62.86,02-Jun,407
2-Jun,Sabah,85,74,87.06,24,111,21.62,02-Jun,254
2-Jun,Sarawak,106,99,93.4,40,140,28.57,02-Jun,588
2-Jun,Selangor,244,283,115.98,166,275,60.36,02-Jun,2728
2-Jun,Terengganu,26,18,69.23,13,41,31.71,02-Jun,224
2-Jun,W.P. Kuala Lumpur,119,135,113.45,71,143,49.65,02-Jun,703
2-Jun,W.P. Labuan,11,8,72.73,8,14,57.14,02-Jun,159
2-Jun,W.P. Putrajaya,8,7,87.5,4,28,14.29,02-Jun,1
3-Jun,Johor,114,149,130.7,95,134,70.9,03-Jun,807
3-Jun,Kedah,73,71,97.26,46,105,43.81,03-Jun,373
3-Jun,Kelantan,56,46,82.14,25,124,20.16,03-Jun,414
3-Jun,Melaka,70,70,100,13,59,22.03,03-Jun,322
3-Jun,Negeri Sembilan,44,75,170.45,46,56,82.14,03-Jun,576
3-Jun,Pahang,53,30,56.6,15,65,23.08,03-Jun,135
3-Jun,Perak,67,55,82.09,43,98,43.88,03-Jun,384
3-Jun,Perlis,8,8,100,5,16,31.25,03-Jun,5
3-Jun,Pulau Pinang,41,38,92.68,20,35,57.14,03-Jun,303
